dataset,iteration,run,mae,cost
14x,10,0,9.124711990356445,14870142
14x,10,1,9.25126838684082,14724342
14x,10,2,14.055191040039062,14978034
14x,10,3,9.877497673034668,14454612
14x,10,4,8.261962890625,14623740
14x,10,5,7.098276615142822,14565420
14x,10,6,7.801621913909912,14647068
14x,10,7,12.12785530090332,14584374
14x,10,8,13.547062873840332,14518764
14x,10,9,9.631195068359375,14652900
14x,10,10,9.304024696350098,14547924
14x,10,11,13.463168144226074,14772456
14x,10,12,11.751932144165039,14317560
14x,10,13,16.2012996673584,14412330
14x,10,14,8.55133056640625,14458986
14x,10,15,8.766199111938477,14679144
14x,10,16,8.835917472839355,14609160
14x,10,17,10.273191452026367,14442948
14x,10,18,7.373129367828369,14680602
14x,10,19,6.162318229675293,14851188
14x,10,20,10.789546012878418,14629572
14x,10,21,13.064859390258789,14405040
14x,10,22,7.4799652099609375,14327766
14x,10,23,10.016008377075195,14575626
14x,10,24,11.3836030960083,14453154
14x,10,25,11.759753227233887,14635404
14x,10,26,14.526666641235352,14523138
14x,10,27,7.486334323883057,14526054
14x,10,28,10.054962158203125,14699556
14x,10,29,9.891611099243164,14403582
14x,15,0,6.7728424072265625,22818348
14x,15,1,6.979893684387207,22650516
14x,15,2,9.256596565246582,22566600
14x,15,3,8.803743362426758,22852368
14x,15,4,7.154332160949707,22738968
14x,15,5,4.548752784729004,22718556
14x,15,6,8.362062454223633,22759380
14x,15,7,9.158185005187988,22552992
14x,15,8,10.884730339050293,22788864
14x,15,9,7.88689661026001,22934016
14x,15,10,4.959080696105957,22509900
14x,15,11,8.222992897033691,22521240
14x,15,12,5.956625461578369,22827420
14x,15,13,11.553227424621582,22353408
14x,15,14,8.795732498168945,22877316
14x,15,15,6.728283882141113,22684536
14x,15,16,11.04477596282959,23092776
14x,15,17,8.733183860778809,22636908
14x,15,18,10.31751537322998,23156280
14x,15,19,10.96644401550293,22503096
14x,15,20,10.397221565246582,22158360
14x,15,21,6.742138862609863,23047416
14x,15,22,4.727841377258301,22909068
14x,15,23,5.5683746337890625,22262688
14x,15,24,6.786700248718262,22691340
14x,15,25,6.1167449951171875,22636908
14x,15,26,18.97513198852539,22791132
14x,15,27,6.812823295593262,22212792
14x,15,28,3.731895923614502,22414644
14x,15,29,7.825900077819824,22378356
14x,20,0,6.373440742492676,30087450
14x,20,1,5.902880668640137,30900042
14x,20,2,4.602489948272705,31226310
14x,20,3,11.310540199279785,31244778
14x,20,4,6.309309959411621,30767688
14x,20,5,8.747079849243164,30518370
14x,20,6,9.047136306762695,30087450
14x,20,7,5.011508941650391,31192452
14x,20,8,7.260750770568848,30844638
14x,20,9,6.17171049118042,30946212
14x,20,10,9.642471313476562,30755376
14x,20,11,9.776235580444336,30736908
14x,20,12,7.9783782958984375,30838482
14x,20,13,9.474541664123535,30835404
14x,20,14,8.67055606842041,30496824
14x,20,15,7.516685485839844,30635334
14x,20,16,9.335192680358887,30764610
14x,20,17,3.8626255989074707,30872340
14x,20,18,9.101500511169434,30884652
14x,20,19,9.468551635742188,30786156
14x,20,20,11.232873916625977,30736908
14x,20,21,4.2651872634887695,30656880
14x,20,22,4.244373321533203,31410990
14x,20,23,4.884943962097168,30798468
14x,20,24,5.6307172775268555,30980070
14x,20,25,9.626116752624512,30509136
14x,20,26,6.876311302185059,31087800
14x,20,27,6.871939182281494,30302910
14x,20,28,7.623568534851074,30712284
14x,20,29,4.394158363342285,30967758
14x,25,0,4.726055145263672,38732256
14x,25,1,7.032393455505371,38743920
14x,25,2,7.519641876220703,38732256
14x,25,3,6.8511810302734375,39183264
14x,25,4,3.9118683338165283,39054960
14x,25,5,5.879162788391113,38650608
14x,25,6,11.45457649230957,38191824
14x,25,7,5.079032897949219,38568960
14x,25,8,7.7242913246154785,38382336
14x,25,9,8.122138977050781,38860560
14x,25,10,4.051277160644531,38495088
14x,25,11,4.5197343826293945,38685600
14x,25,12,5.557600021362305,38537856
14x,25,13,6.528085231781006,38938320
14x,25,14,10.414941787719727,38837232
14x,25,15,7.564720153808594,38864448
14x,25,16,7.248608589172363,39323232
14x,25,17,6.201898097991943,39400992
14x,25,18,5.305176734924316,38860560
14x,25,19,6.611887454986572,38751696
14x,25,20,3.4954841136932373,38355120
14x,25,21,4.966060161590576,39564288
14x,25,22,12.755189895629883,39191040
14x,25,23,4.440613269805908,38802240
14x,25,24,5.754617691040039,39144384
14x,25,25,4.702572822570801,38471760
14x,25,26,4.618316650390625,38448432
14x,25,27,5.0454607009887695,38327904
14x,25,28,3.857722759246826,38487312
14x,25,29,7.720101833343506,38055744
14x,30,0,6.596590995788574,45636372
14x,30,1,7.7784013748168945,47158524
14x,30,2,8.616713523864746,46590066
14x,30,3,6.391249656677246,47275974
14x,30,4,5.028515815734863,46665234
14x,30,5,4.0466132164001465,46716912
14x,30,6,4.827278137207031,46951812
14x,30,7,8.241716384887695,46425636
14x,30,8,4.49051570892334,47355840
14x,30,9,6.791800022125244,47492082
14x,30,10,7.625175476074219,46787382
14x,30,11,3.57688570022583,47586042
14x,30,12,8.35212230682373,47097450
14x,30,13,3.674447536468506,47694096
14x,30,14,8.886037826538086,47421612
14x,30,15,4.8112101554870605,47153826
14x,30,16,5.6062541007995605,46486710
14x,30,17,2.3565316200256348,45377982
14x,30,18,5.614096641540527,46528992
14x,30,19,3.4195303916931152,46970604
14x,30,20,5.054085731506348,47402820
14x,30,21,4.015724182128906,47031678
14x,30,22,3.7924132347106934,46702818
14x,30,23,8.390143394470215,46909530
14x,30,24,2.9556970596313477,46998792
14x,30,25,3.932640790939331,46693422
14x,30,26,5.618974208831787,47233692
14x,30,27,5.175457000732422,46449126
14x,30,28,8.640542984008789,47257182
